Country,Value
Afghanistan,44.77
Albania,82.47
Algeria,58.25
Andorra,51.17
Angola,51.84
Antigua and Barbuda,41.74
Argentina,84.27
Armenia,51.04
Aruba,48.05
Australia,61.74
Austria,95.11
Azerbaijan,44.28
Bahamas,42.17
Bangladesh,87.16
Barbados,46.61
Belarus,44.27
Belgium,66.3
Belize,48.88
Benin,37.24
Bermuda,17.14
Bhutan,42.8
Bolivia,83.44
Bosnia and Herzegovina,93.47
Botswana,42.9
Brazil,85.43
Brunei Darussalam,48.58
Bulgaria,81.09
Burkina Faso,50.53
Burundi,39.8
Cambodia,90
Cameroon,52.86
Canada,93.11
Cape Verde,45.99
Cayman Islands,46.39
Central African Republic,45.17
Chad,44.65
Chile,52.55
China,67.96
Colombia,54.58
Comoros,23.2
"Congo, Democratic Republic of",49.04
"Congo, Republic of",47.88
Costa Rica,47.72
C̫te d'Ivoire,50.87
Croatia,92.5
Cuba,88.6
Cyprus,75.27
Czech Republic,74.48
Denmark,74.87
Djibouti,34.35
Dominica,41.26
Dominican Republic,46.53
Ecuador,83.44
Egypt,62.37
El Salvador,49.79
Equatorial Guinea,46.15
Eritrea,42.53
Estonia,94.32
Ethiopia,42.79
Faroe Islands,41.37
Fiji,87.67
Finland,87.58
France,86.51
Gabon,42.12
Gambia,48.65
Georgia,40.24
Germany,78.56
Ghana,77.83
Greece,77.11
Greenland,48.87
Grenada,46.38
Guam,48.25
Guatemala,59.88
Guinea,45.54
Guinea-Bissau,45.49
Guyana,42.79
Haiti,39.69
Honduras,49.75
Hong Kong,96.57
Hungary,73.97
Iceland,100
India,78.94
Indonesia,62.2
Iran,49.78
Iraq,42.74
Ireland,91.91
Isle of Man,42.67
Israel,57.68
Italy,82.17
Jamaica,46.16
Japan,87.82
Jordan,30
Kazakhstan,43.43
Kenya,57.86
Korea Republic of,44.11
Kyrgyzstan,41.33
Laos,85.05
Latvia,90.55
Lebanon,40.58
Lesotho,46.81
Liberia,30.99
Libyan Arab Jamahiriya,49.39
Liechtenstein,38.17
Lithuania,85.88
Luxembourg,70.26
Macao,42.69
Macedonia,59.69
Madagascar,47.6
Malawi,30.34
Malaysia,54.63
Maldives,39.9
Mali,78.63
Malta,23.93
Marshall Islands,47.78
Mauritania,45.81
Mauritius,48.75
Mayotte,48.89
Mexico,61.42
Moldova,48.83
Monaco,53.58
Mongolia,45.01
Morocco,62.88
Mozambique,46.64
Myanmar,45.73
Namibia,45.7
Nepal,45.96
Netherlands,73.19
Netherlands Antilles,48.4
New Caledonia,47.98
New Zealand,99.2
Nicaragua,42.34
Niger,42.23
Nigeria,44.82
Northern Mariana Islands,52.02
Norway,95.08
Oman,44.18
Pakistan,62.56
Palestine,49.52
Panama,92.23
Papua New Guinea,39.56
Paraguay,51.76
Peru,83.44
Philippines,89.32
Poland,81.63
Portugal,77.86
Puerto Rico,49.62
Romania,81.5
Russia,82.36
Rwanda,46.11
Saint Kitts and Nevis,52.95
Saint Lucia,44.64
Saint Vincent and the Grenadines,45.91
San Marino,44.95
Sao Tome and Principe,43.68
Saudi Arabia,42.44
Senegal,83.65
Serbia,83.63
Seychelles,45.83
Sierra Leone,48.98
Singapore,98.02
Slovakia,89.18
Slovenia,92.98
Solomon Islands,48.74
Somalia,44.17
South Africa,84.17
Spain,83.07
Sri Lanka,91.68
Sudan,65.21
Suriname,38.75
Sweden,96.18
Switzerland,86.92
Syria,44.96
Tajikistan,45.09
Tanzania,85
Thailand,82.67
Timor-Leste,37.34
Togo,44.2
Tonga,47.09
Trinidad and Tobago,46.31
Tunisia,63.02
Turkey,57.87
Turkmenistan,45.02
Uganda,39.5
Ukraine,29.83
United Kingdom,81.62
United States of America,77.47
United States Virgin Islands,43.45
Uruguay,63.44
Uzbekistan,37.95
Vanuatu,45.75
Venezuela,40.52
Viet Nam,72.73
Zambia,41.71
Zimbabwe,71.93