,,,,,,
Argentina,84.27,,,,,
Armenia,51.04,,,,,
Australia,61.74,,,,,
Azerbaijan,44.28,,,,,
Bangladesh,87.16,,,,,
Belarus,44.27,,,,,
Benin,37.24,,,,,
Bolivia,83.44,,,,,
Botswana,42.90,,,,,
Brazil,85.43,,,,,
Cambodia,90.00,,,,,
Cameroon,52.86,,,,,
Canada,93.11,,,,,
Chile,52.55,,,,,
China,67.96,,,,,
Congo D.R.,49.04,,,,,
Cote dâ€™ Ivoire,50.87,,,,,
Dominican Republic,46.53,,,,,
Egypt,62.37,,,,,
El Salvador,49.79,,,,,
Estonia,94.32,,,,,
Ethiopia,42.79,,,,,
Finland,87.58,,,,,
France,86.51,,,,,
French Southern Territories,85.00,,,,,
Germany,78.56,,,,,
Greece,77.11,,,,,
Guatemala,59.88,,,,,
Guyana,42.79,,,,,
Haiti,39.69,,,,,
Hungary,73.97,,,,,
India,78.94,,,,,
Indonesia,62.2,,,,,
Iran,49.78,,,,,
Iraq,42.74,,,,,
Ireland,91.91,,,,,
Israel,57.68,,,,,
Italy,82.17,,,,,
Japan,87.82,,,,,
Kazakhstan,43.43,,,,,
Kenya,57.86,,,,,
Kyrgyzstan,41.33,,,,,
Laos,85.05,,,,,
Latvia,90.55,,,,,
Lithuania,85.88,,,,,
Macedonia,59.69,,,,,
Madagascar,47.60,,,,,
Malawi,30.34,,,,,
Mali,78.63,,,,,
Mexico,61.42,,,,,
Mongolia,45.01,,,,,
Montenegro,,,,,,
Mozambique,46.64,,,,,
Netherlands,73.19,,,,,
New Zealand,99.2,,,,,
Nicaragua,42.34,,,,,
Nigeria,44.82,,,,,
Norway,95.08,,,,,
Pakistan,62.56,,,,,
Panama,92.23,,,,,
Papua New Guinea,39.56,,,,,
Paraguay,51.76,,,,,
Peru,83.44,,,,,
Philippines,89.32,,,,,
Poland,81.63,,,,,
Russia,82.36,,,,,
Rwanda,46.11,,,,,
Somalia,44.17,,,,,
South Africa,84.17,,,,,
Spain,83.07,,,,,
Sri Lanka,91.68,,,,,
Sudan,65.21,,,,,
Suriname,38.75,,,,,
Sweden,96.18,,,,,
Syria,44.96,,,,,
Tanzania,85.00,,,,,
Thailand,82.67,,,,,
Turkey,57.87,,,,,
Uganda,39.5,,,,,
Ukraine,29.83,,,,,
United Kingdom,81.62,,,,,
United States,77.47,,,,,
Uruguay,63.44,,,,,
Uzbekistan,37.95,,,,,
Venezuela,40.52,,,,,
Zambia,41.71,,,,,
,,,,,,
,,,,,,